"name","Type","Color","manacost","maybeboard","tags"
"Akrasan Squire","Creature - Human Soldier","W","{W}","false","W - Exalted"
"Alseid of Life's Bounty","Enchantment Creature - Nymph","W","{W}","false","W - Equipment"
"Doomed Traveler","Creature - Human Soldier","W","{W}","false","W - Afterlife"
"Esper Sentinel","Artifact Creature - Human Soldier","W","{W}","false","W - Factory"
"Flourishing Fox","Creature - Fox","W","{W}","false","W - Cycling"
"Giant Killer","Creature - Human Peasant","W","{W}","false","GW - Adventure"
"Healer's Hawk","Creature - Bird","W","{W}","false","W - Lifegain"
"Hunted Witness","Creature - Human","W","{W}","false","W - Afterlife"
"Lightstall Inquisitor","Creature - Angel Wizard","W","{W}","false","W - Angels"
"Lunarch Veteran","Creature - Human Cleric","W","{W}","false","W - Lifegain"
"Seasoned Warrenguard","Creature - Rabbit Warrior","W","{W}","false","W - Army"
"Star Pupil","Creature - Human Wizard","W","{W}","false","W - Counters"
"Stonebinder's Familiar","Creature - Spirit Dog","W","{W}","false","GW - Adventure"
"Student of Warfare","Creature - Human Knight","W","{W}","false","W - Keywords"
"Thraben Inspector","Creature - Human Soldier","W","{W}","false","W - Blink"
"Ainok Bond-Kin","Creature - Dog Soldier","W","{1}{W}","false","W - Counters"
"Ajani's Pridemate","Creature - Cat Soldier","W","","false","W - Lifegain"
"Arcbound Prototype","Artifact Creature - Assembly-Worker","W","{1}{W}","false","W - Factory"
"Aven Squire","Creature - Bird Soldier","W","{1}{W}","false","W - Exalted"
"Charming Prince","Creature - Human Noble","W","{1}{W}","false","W - Blink"
"Clarion Spirit","Creature - Spirit","W","{1}{W}","false","W - Army"
"Distinguished Conjurer","Creature - Human Wizard","W","{1}{W}","false","W - Lifegain"
"Drannith Healer","Creature - Human Cleric","W","{1}{W}","false","W - Cycling"
"Fear of Surveillance","Enchantment Creature - Nightmare","W","{1}{W}","false","W - Enchantments"
"Impostor of the Sixth Pride","Creature - Shapeshifter","W","{1}{W}","false","W - Angels"
